product_id,sales_count,first_date,days_active,turnover_rate,return_rate,category,brand,retail_price,department,cluster,strategy_group
1,4,2020-12-24 06:23:00,1692,0.002364066193853428,0.0,Tops & Tees,Seven7,49.0,Women,2,저회전·저반품
2,4,2020-04-23 09:17:00,1937,0.002065049044914817,0.0,Tops & Tees,Calvin Klein,69.5,Women,2,저회전·저반품
3,4,2019-12-13 17:05:32,2068,0.0019342359767891683,0.0,Tops & Tees,Calvin Klein Jeans,69.5,Women,2,저회전·저반품
4,5,2020-06-14 15:14:00,1884,0.002653927813163482,0.2,Tops & Tees,Bailey 44,108.0,Women,3,저회전·고반품
5,9,2019-10-14 20:43:50,2128,0.0042293233082706765,0.3333333333333333,Tops & Tees,Anne Klein,94.0,Women,3,고회전·고반품
6,4,2020-06-10 05:01:11,1889,0.0021175224986765486,0.0,Tops & Tees,Wilt,132.0,Women,2,저회전·저반품
7,7,2019-01-29 21:44:44,2386,0.002933780385582565,0.42857142857142855,Tops & Tees,Lucky Brand,39.5,Women,1,저회전·고반품
8,9,2020-02-29 14:57:47,1990,0.004522613065326633,0.1111111111111111,Tops & Tees,Ella Moss,168.0,Women,0,고회전·고반품
9,6,2020-10-26 20:44:59,1750,0.0034285714285714284,0.16666666666666666,Tops & Tees,Alternative,54.0,Women,3,고회전·고반품
10,3,2021-01-20 07:24:00,1665,0.0018018018018018018,0.0,Tops & Tees,Calvin Klein,59.5,Women,2,저회전·저반품
11,2,2020-03-05 04:20:49,1986,0.0010070493454179255,0.0,Tops & Tees,Lucky Brand,89.5,Women,2,저회전·저반품
12,7,2020-07-09 01:21:00,1860,0.003763440860215054,0.14285714285714285,Tops & Tees,Jones New York,99.0,Women,3,고회전·고반품
13,6,2019-09-19 16:40:53,2153,0.002786809103576405,0.3333333333333333,Tops & Tees,Jones New York,76.69999694824217,Women,1,저회전·고반품
14,7,2020-09-15 17:48:00,1791,0.003908431044109436,0.14285714285714285,Tops & Tees,Alternative,88.0,Women,3,고회전·고반품
15,8,2020-08-08 04:27:00,1830,0.004371584699453552,0.0,Tops & Tees,Lucky Brand,49.5,Women,0,고회전·저반품
16,2,2021-02-01 06:47:00,1653,0.0012099213551119178,0.0,Tops & Tees,2b by bebe,32.95000076293945,Women,2,저회전·저반품
17,5,2020-12-08 08:32:00,1708,0.002927400468384075,0.2,Tops & Tees,Calvin Klein Jeans,59.5,Women,3,저회전·고반품
18,6,2020-08-10 17:01:00,1827,0.003284072249589491,0.3333333333333333,Tops & Tees,Hurley,22.0,Women,1,고회전·고반품
19,7,2020-08-06 14:22:00,1831,0.0038230475150191155,0.14285714285714285,Tops & Tees,Billabong,22.5,Women,3,고회전·고반품
20,2,2020-04-18 11:55:00,1941,0.0010303967027305513,0.0,Tops & Tees,Anne Klein,63.400001525878906,Women,2,저회전·저반품
21,5,2020-07-13 06:46:00,1856,0.0026939655172413795,0.2,Tops & Tees,Volcom,27.0,Women,3,저회전·고반품
22,7,2019-08-12 16:19:03,2191,0.003194888178913738,0.0,Tops & Tees,Ella Moss,158.0,Women,2,고회전·저반품
23,10,2020-02-08 03:59:00,2012,0.004970178926441352,0.3,Tops & Tees,Lucky Brand,59.5,Women,3,고회전·고반품
24,5,2020-05-11 15:57:00,1918,0.0026068821689259644,0.0,Tops & Tees,Seven7,44.0,Women,2,저회전·저반품
25,3,2020-08-22 12:57:00,1815,0.001652892561983471,0.0,Tops & Tees,Lucky Brand,79.5,Women,2,저회전·저반품
26,8,2020-01-17 16:53:00,2033,0.003935071323167732,0.125,Tops & Tees,Lucky Brand,49.5,Women,3,고회전·고반품
27,5,2020-11-01 16:34:00,1744,0.0028669724770642203,0.0,Tops & Tees,Splendid,74.0,Women,2,저회전·저반품
28,8,2020-07-02 13:50:00,1866,0.004287245444801715,0.0,Tops & Tees,Joe's Jeans,150.99000549316406,Women,0,고회전·저반품
29,9,2019-07-25 03:35:20,2210,0.004072398190045249,0.1111111111111111,Tops & Tees,Calvin Klein,69.5,Women,0,고회전·고반품
30,7,2020-06-07 05:05:00,1892,0.0036997885835095136,0.14285714285714285,Tops & Tees,Lucky Brand,99.0,Women,3,고회전·고반품
31,8,2020-02-06 03:08:00,2014,0.003972194637537239,0.125,Tops & Tees,Anne Klein,57.950000762939446,Women,3,고회전·고반품
32,4,2020-05-11 17:29:57,1918,0.0020855057351407717,0.0,Tops & Tees,TEXTILE Elizabeth and James,92.0,Women,2,저회전·저반품
33,4,2020-02-04 15:03:00,2015,0.0019851116625310174,0.0,Tops & Tees,Kenneth Cole,62.9900016784668,Women,2,저회전·저반품
34,2,2020-06-24 15:18:00,1874,0.0010672358591248667,0.0,Tops & Tees,Vince Camuto,89.0,Women,2,저회전·저반품
35,9,2019-01-08 05:20:17,2408,0.003737541528239203,0.2222222222222222,Tops & Tees,D.E.P.T.,89.0,Women,3,고회전·고반품
36,5,2020-02-21 18:54:41,1998,0.0025025025025025025,0.2,Tops & Tees,Jones New York,69.0,Women,3,저회전·고반품
37,7,2020-06-19 09:47:00,1879,0.0037253858435337944,0.0,Tops & Tees,Jones New York,79.98999786376953,Women,0,고회전·저반품
38,4,2020-01-10 09:52:00,2040,0.00196078431372549,0.0,Tops & Tees,Calvin Klein,79.5,Women,2,저회전·저반품
39,3,2020-06-29 04:24:00,1870,0.0016042780748663102,0.0,Tops & Tees,Chaus,49.0,Women,2,저회전·저반품
40,7,2020-01-28 02:14:00,2023,0.0034602076124567475,0.0,Tops & Tees,Anne Klein,89.0,Women,2,고회전·저반품
41,5,2020-01-26 05:41:28,2025,0.0024691358024691358,0.0,Tops & Tees,Splendid,108.0,Women,2,저회전·저반품
42,8,2020-01-26 14:42:00,2024,0.003952569169960474,0.0,Tops & Tees,Lucky Brand,99.0,Women,0,고회전·저반품
43,7,2020-02-14 12:03:00,2005,0.003491271820448878,0.14285714285714285,Tops & Tees,Seven7,44.0,Women,3,고회전·고반품
44,4,2019-10-26 19:25:53,2116,0.001890359168241966,0.25,Tops & Tees,Chaus,49.0,Women,1,저회전·고반품
45,10,2020-02-24 09:54:33,1995,0.005012531328320802,0.1,Tops & Tees,Pendleton,68.0,Women,0,고회전·고반품
46,4,2021-03-15 04:39:00,1611,0.002482929857231533,0.0,Tops & Tees,Isaac Mizrahi Jeans,69.5,Women,2,저회전·저반품
47,4,2020-02-29 10:29:00,1990,0.0020100502512562816,0.0,Tops & Tees,Bailey 44,163.0,Women,2,저회전·저반품
48,8,2019-11-03 01:09:19,2109,0.003793266951161688,0.25,Tops & Tees,Calvin Klein,79.5,Women,3,고회전·고반품
49,4,2020-01-22 01:30:00,2029,0.001971414489896501,0.0,Tops & Tees,KUT from the Kloth,59.0,Women,2,저회전·저반품
50,5,2020-04-28 01:31:00,1932,0.002587991718426501,0.0,Tops & Tees,Calvin Klein,59.5,Women,2,저회전·저반품
51,6,2020-01-31 06:03:00,2020,0.0029702970297029703,0.0,Tops & Tees,Alternative,58.0,Women,2,저회전·저반품
52,8,2020-06-23 14:18:00,1875,0.004266666666666667,0.0,Tops & Tees,Twelfth Street by Cynthia Vincent,275.0,Women,0,고회전·저반품
53,4,2019-06-06 12:38:25,2258,0.001771479185119575,0.25,Tops & Tees,Democracy,64.0,Women,1,저회전·고반품
54,5,2020-11-27 02:44:00,1719,0.0029086678301337987,0.0,Tops & Tees,Pendleton,78.0,Women,2,저회전·저반품
55,5,2021-02-09 09:09:00,1645,0.00303951367781155,0.2,Tops & Tees,Lucky Brand,49.5,Women,3,고회전·고반품
56,3,2020-07-23 03:59:00,1846,0.0016251354279523294,0.3333333333333333,Tops & Tees,Joie,238.0,Women,1,저회전·고반품
